nev;szulEv;halEv;nemzetiseg;cim;helyezes
George Orwell;1903;1950;angol;1984;4
Joseph Heller;1923;1999;amerikai;A 22-es csapdája;44
G. Hajnóczy Rózsa;1892;1944;magyar;A bengáli tűz;101
Dan Brown;1964;;amerikai;A da Vinci-kód;64
Erich Maria Remarque;1898;1970;német;A Diadalív árnyékában;70
Rudyard Kipling;1865;1936;angol;A dzsungel könyve;101
Mikszáth Kálmán;1847;1910;magyar;A fekete város;56
Füst Milán;1888;1948;magyar;A feleségem története;101
Wass Albert;1908;1998;magyar;A funtineli boszorkány;25
Babits Mihály;1883;1941;magyar;A gólyakalifa;101
Márai Sándor;1900;1989;magyar;A gyertyák csonkig égnek;32
J. R. R. Tolkien;1892;1973;angol;A Gyűrűk Ura I–III.;8
Alexandre Dumas;1802;1870;francia;A három testőr;28
Rejtő Jenő;1905;1943;magyar;A három testőr Afrikában;101
Fjodor Mihajlovics Dosztojevszkij;1821;1881;orosz;A Karamazov testvérek;101
Ken Follett;1949;;walesi;A katedrális;69
Erich Kästner;1899;1974;német;A két Lotti;21
Lőrincz L. László;1939;;magyar;A kicsik;101
Antoine de Saint-Exupéry;1900;1944;francia;A kis herceg;7
Jókai Mór;1825;1904;magyar;A kőszívű ember fiai;14
Gárdonyi Géza;1963;1922;magyar;A láthatatlan ember;38
William Golding;1911;1993;angol;A Legyek Ura;46
Milan Kundera;1929;;cseh;A lét elviselhetetlen könnyűsége;92
Mihail Afanaszjevics Bulgakov;1891;1940;orosz;A Mester és Margarita;10
Dallos Sándor;1901;1964;magyar;A nap szerelmese;40
Lázár Ervin;1936;2006;magyar;A Négyszögletű Kerek Erdő;101
Meg Cabot;1967;;amerikai;A neveletlen hercegnő naplója;57
Victor Hugo;1802;1885;francia;A nyomorultak;23
Molnár Ferenc;1878;1952;magyar;A Pál utcai fiúk;2
Szerb Antal;1901;1945;magyar;A Pendragon legenda;81
Stephen King;1947;;amerikai;A ragyogás;101
Umberto Eco;1932;2016;olasz;A rózsa neve;61
